topic,video_url,user1 decision,user1 decision date,user2,user3 decision date,user3,user3 decision date
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC-6hNq9ZPInBM2boE5rCwDg-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC-A5dXAm9OqMX-VcdhpMkQA-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC-C-ySDdP41qnoBohEH3mIA-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC-HIzpSRX01S1nO29jHxvZA-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC-WS9edP_NfGSm0S6U_0AqQ-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC-eHXnicGMg0OUhO0F32zIA-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC-gzd6maDWEdCtQWrlVCVxg-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC-oK3O7A3YkLJUQ2atf2tsA-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC-pN7BuCJlapfEh3_cctY-g-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC-xcw_cTitMxsDuNHQ0OQCg-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC0LbfVBKOMLXPAivuc-1BSg-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC0xBkMzMOI7mup54c0Uh6bg-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC14G9dR49EwCFVGdiHefEBA-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC1Ng4663KxDzwUecYI53RlQ-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC1YFXyG6QBTZ1uZiuWMIsYQ-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC1hdxvJWMRm4EGY0m_o0GTQ-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC1nt_XOz75aAbBK6teBp6WA-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC1ygVmz_nrdv9vbEfFCRumA-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC22STIzkwn_j50Wx7lvS2zg-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC2B1cKMz3QvAm6I0tDeQqTw-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC2YkJ2iPMuUVGyxbt1DcxQQ-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC2xd7dT4TM6zfnt4BDQJIbA-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC36SRSBmGVyBPxTV1E3bfPQ-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC3REClvHp70y7Y2V2YPcDjQ-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC3WLea_1XvjoqZ1VcB6cTAQ-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC3_16v53624-rhPQ3dv-ZkA-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC3bavRGO9EptaVPirB_8wNg-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC3eGFn2RprmCzdZJj6GYjmg-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC3fkKCLVhc78HMgrI0gy9xA-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC3oAHBAT6mmBZG6yTr88YjA-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC3u2pQX1oa1-MRrylTc98NA-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC4Jre6uZgV7InMDPKa5wwoQ-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC4dcSxkiv3WaNzEMPTCOjpw-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC4nE6MfAZ7BuAZw4J14q6vw-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC4y5tFMG8-C4N3VYUdY8hdQ-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC58yopHE2205rDaEYF1o2hQ-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC5QJxWqhvMi59dowMHRZ-Uw-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC5WepBw9NVE3LdMNj7TJ6Lw-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC5rtA4PR80o-yryQf5aDgRQ-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC6VuFV0zTu6xZGIWSRWoqCA-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC6e2pA1LFUJFqKo8l50o96Q-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC6gz4WEb9Zl4dmCWMHOaBKQ-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC7-GJxnTFzmZ6GDa8L9GSAA-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC7D9-VpFwmrjucbU4cmJyKw-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC7_Sy9UptLufXWdjXEyZ_2Q-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC7vvLI5aAfLubW2aErqEsMw-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC8Z6ugXSm2p1S7wAMITYaSQ-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC8epa8D-jM_yN2qZq8HLlng-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC8xC7NSasWkIX94A8VBMDZg-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC9Do7lOalccbH4bOx_Z_Gxw-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC9pCc8y0IeyU_RcAfgsF95A-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UC9rqRGZBTpiM7p60JzJWFWg-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UCACTeSFcgZPQG6pl4a3CtUQ-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UCAOYjC-F7CXbxtrszaO6RHA-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UCARGuA3cixdNUR67EhL8E2w-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UCA_xNK3dT2_In34KhjnMAIg-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UCAixgcd_cI_nl79acu_4jZw-score-5.mp4,,,,,,
Mobile phone repair,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/phone-repair_channels/mp4/UCAvn08ZivNrj0KRJHMcMXCQ-score-5.mp4,,,,,,
