url,handle,name,subscribers,videos_count,score_0_5,reason,discovery_keywords,channel_id,vertical,topic,stage,scored_at,source,live_videos_count
https://www.youtube.com/@%e3%82%bf%e3%83%a9%e3%81%ae%e4%bf%ae%e7%90%86%e5%8b%95%e7%94%bb,@%E3%82%BF%E3%83%A9%E3%81%AE%E4%BF%AE%E7%90%86%E5%8B%95%E7%94%BB,タラの修理動画,2660,104,5,"Dedicated junk audio equipment repair channel (cassette decks, CD/MD players) showing real bench repairs.",电源维修,UCXa7hVoGI9TJKPDJxkkG2Rg,hands,tv-power-electronics-repair,rest1,2026-09-14,scraper,104
https://www.youtube.com/@%e4%b8%9c%e8%be%b0%e7%a7%91%e6%8a%80,@%E4%B8%9C%E8%BE%B0%E7%A7%91%E6%8A%80,东辰科技,1310,202,5,Dedicated computer power supply repair channel documenting the repair process step by step.,تعمیر منبع تغذیه | 电源维修,UC5y4zraCoUNLJ4M5Rxd698g,hands,tv-power-electronics-repair,rest1,2026-09-14,scraper,202
https://www.youtube.com/@%ec%88%98%eb%a6%ac%ea%b3%b5%eb%b0%a9,@%EC%88%98%EB%A6%AC%EA%B3%B5%EB%B0%A9,수리공방,2530,2043,5,"Vintage audio repair shop describing amplifier, tuner, cassette deck and speaker repairs with detailed hashtags showing hands-on bench work.",TV 수리,UCOkRcrbAgpCTyg8DtafqjVA,hands,tv-power-electronics-repair,rest1,2026-09-14,scraper,2043
https://www.youtube.com/@%ec%a0%84%ec%9e%90%eb%b6%80%ed%92%88,@%EC%A0%84%EC%9E%90%EB%B6%80%ED%92%88,ELEC TV,13,60,5,"Dedicated electronics repair channel with titles showing amp/radio disassembly and repair (Macintosh, EFP100, LED work).",TV 수리,UCxIBlDwHRfYsJnlDtjc-ikw,hands,tv-power-electronics-repair,rest1,2026-09-14,scraper,60
https://www.youtube.com/@76139tins,@76139tins,Tin SMPS,3720,829,5,"Dedicated SMPS and Class D amplifier repair channel specializing in professional audio brands like Crown, JBL, QSC.",sửa nguồn xung,UCBD9vS4H6VKnV3SLJ6aBq-g,hands,tv-power-electronics-repair,rest1,2026-09-14,scraper,829
https://www.youtube.com/@ali_electronic_94,@ali_electronic_94,ali_electronic_94,61,57,5,Dedicated LED TV repair shop channel covering motherboard and panel display repair services.,TV repair shop,UC73XcODn6P66LCU4eCiRH1g,hands,tv-power-electronics-repair,trial100,2026-09-14,scraper,57
https://www.youtube.com/@amanservicecenter5151,@Amanservicecenter5151,Aman service center,218,145,5,"Dedicated TV service center channel with real T-con, panel and no-power repair videos described.",T-con board repair,UCd4Hz_ynSnXvkBklz1AUOQg,hands,tv-power-electronics-repair,rest1,2026-09-14,scraper,145
https://www.youtube.com/@ampmasterlucknow,@AmpMasterLucknow,Amp Master Lucknow,240,61,5,"Dedicated amplifier and electronics repair channel with practical PCB repair, fault finding content.",reparación de amplificadores | conserto de amplificador | ремонт усилителя,UCT69mKyOylJD-cSyDEkVGvg,hands,tv-power-electronics-repair,rest1,2026-09-14,scraper,61
https://www.youtube.com/@ashoka_tech_repair,@ashoka_tech_repair,Ashoka Tech Repair ,164,182,5,"Dedicated Hindi channel for UPS, inverter, SMPS and power supply repair with step-by-step practical videos.",power supply repair,UCrh6j8WSHWrSBPRIxuOwvrg,hands,tv-power-electronics-repair,wave1,2026-09-14,scraper,182
https://www.youtube.com/@asodisplaysolutions,@asodisplaysolutions,ASO Display Solutions,57600,723,5,"Dedicated TV/monitor screen repair shop with titles showing real repairs, micro-soldering, flex/COF work.",monitor repair,UCsB8uBqIfvgWake1GHGlCmQ,hands,tv-power-electronics-repair,wave1,2026-09-14,scraper,723
