url,handle,name,subscribers,videos_count,score_0_5,reason,discovery_keywords,channel_id,vertical,topic,stage,scored_at
https://www.youtube.com/@karmanov-01,@karmanov-01,💻 СЛАВНЫЙ РЕМОНТ 💻 ,340,93,5,"Russian channel dedicated to real laptop/PC repairs including diagnostics, soldering, board restoration and BIOS work.",ремонт ноутбуков,UCBhBoB8cfkNkQY-iYXNWn8g,hands,laptop-computer-repair,trial100,2026-09-14
https://youtube.com/c/jayztwocents,@Jayztwocents,JayzTwoCents,4340000,2746,4,"Established PC building and hardware channel with how-to content, though mixed with reviews and buyer guides.",PC building,UCkWQ0gDrqOCarmUKmppD7GQ,hands,laptop-computer-repair,trial100,2026-09-14
https://www.youtube.com/@pc_monkey,@PC_Monkey,PC Monkey,475000,531,4,"Channel explicitly focused on computer repair, upgrade and PC build videos for DIY audience.",computer repair,UCyKO9ljz1sfS975gjnlwpzA,hands,laptop-computer-repair,trial100,2026-09-14
https://www.youtube.com/@reparanoia,@Reparanoia,Marcos Mora,857,224,4,Dedicated channel showing real laptop and desktop diagnostics and repairs like screen issues and MacBook recovery.,computer repair,UCPLknRKHneFCobInJPoAhrQ,hands,laptop-computer-repair,trial100,2026-09-14
https://www.youtube.com/@technocomkendari,@TechnocomKendari,Technocom Kendari,18000,98,4,Indonesian laptop repair center channel dedicated to showcasing laptop and PC repair tutorials and technology content.,laptop repair,UCfxR4xqURvf9fYF5-tB_Xog,hands,laptop-computer-repair,trial100,2026-09-14
https://www.youtube.com/@thshopayaz,@ThshopAyaz,ThshopAyaz Tech,123,96,4,"Dedicated laptop motherboard repair channel covering BIOS programming, IC replacement, and troubleshooting tutorials.",laptop repair | laptop repairing | laptop motherboard | motherboard repair,UCvHzR08VtylSb5DEjBjLsCA,hands,laptop-computer-repair,trial100,2026-09-14
https://www.youtube.com/@compufactsystems1463,@compufactsystems1463, CFS- Chip Level Training Institute In Kolkata,3120,800,4,"Chip-level laptop and desktop motherboard repairing training institute with schematic and BIOS courses, strong hands-on repair evidence.",laptop repair | laptop repairing | motherboard repair | chip level repair | laptop service,UCcu6CB4wiCm6dHZd-rq1vvg,hands,laptop-computer-repair,trial100,2026-09-14
https://www.youtube.com/@itsupportsolution.n,@itsupportsolution.n,Uttam tech solution,120,138,4,"Titles show real laptop hardware jobs (no power issue, hinge fabrication, backlight issue) despite some software content in description.",computer repair | motherboard repair,UCJx0snoynyM2EuFymGyCrVg,hands,laptop-computer-repair,trial100,2026-09-14
https://www.youtube.com/@pctop_tech,@pctop_tech,pcTop,44,56,4,"Iranian laptop/computer repair clinic channel with titles showing fan service, laptop teardown and repair diagnostics on camera.",laptop repair | computer repair,UCG1hp7DgMtUkKc9GrOdc-aA,hands,laptop-computer-repair,trial100,2026-09-14
https://www.youtube.com/@raminfotechlaptopservice547,@raminfotechlaptopservice547,Ram infotech Laptop Service Chennai Pvt Ltd,33300,1620,4,"Laptop service center describing chip-level troubleshooting, motherboard and display repairs across multiple branches.",laptop motherboard | laptop service,UCywFjCjBEKW2AVo_ZMyFHsQ,hands,laptop-computer-repair,trial100,2026-09-14
