url,handle,name,subscribers,videos_count,score_0_5,reason,discovery_keywords,channel_id,vertical,topic,stage,scored_at,source,live_videos_count,also_scored_in
https://www.youtube.com/@%eb%b3%b5%ec%82%ac%ea%b8%b0119,@%EB%B3%B5%EC%82%AC%EA%B8%B0119,복사기119,579,91,5,Channel explicitly shares copier and printer repair content ('복사기 및 프린터 수리내용을 공유').,프린터 수리,UC6YGYJ6sVN9wrnSmA47bB1Q,hands,printer-repair,wave4,2026-09-15,scraper,91,
https://www.youtube.com/@303electronics,@303electronics,303 Electronics,42200,516,5,Dedicated tutorial channel on replacing parts and repairing inkjet and laser printers.,printhead cleaning | printer roller replacement | printer paper jam repair | electronics repair,UCz_UjaMQKDrVEW0b_Vm8cCQ,hands,printer-repair,wave4,2026-09-15,scraper,516,tv-power-electronics-repair:1
https://www.youtube.com/@aleks_59-63,@aleks_59-63,Александр Артошин Сам Себе Мастер,1850,89,5,"Dedicated channel on refilling cartridges and repairing printers, MFPs, copiers with various fault videos.",ремонт МФУ,UCEeZVeZL0QOKSAwvH5g2fzQ,hands,printer-repair,wave1,2026-09-15,scraper,89,
https://www.youtube.com/@arekoddrukarek,@ArekOdDrukarek,ArekOdDrukarek,24100,1342,5,"Dedicated printer repair channel run by owner of PRINTWORLD, name explicitly signals printer service passion.",naprawa drukarek,UC_T5nQWYqo06eJsOm3ABENg,hands,printer-repair,wave4,2026-09-15,scraper,1342,
https://www.youtube.com/@bilalsworkshopksa,@BilalsWorkshopKSA,Bilal's Workshop KSA,20800,369,5,"IT technician channel with titles showing real printhead cleaning, error fixes for Epson/Canon/HP.",CISS installation printer,UCCRCniUQwJlS9P2tfoTBmZg,hands,printer-repair,wave1,2026-09-15,scraper,369,
https://www.youtube.com/@copierrepair,@copierrepair,Repair of copiers with RIV. My experience for you!,821,278,5,"Dedicated copier repairman channel sharing personal repair and maintenance experience across brands, mainly Konica Minolta.",copier repair | printer roller replacement,UCACrxaaf7dskDoGfkeIoeZw,hands,printer-repair,wave1,2026-09-15,scraper,278,
https://www.youtube.com/@egemak,@egemak,EGEMAK Printhead Onarım,149,96,5,"Dedicated printhead repair technician for Epson/HP plotters and UV/eco-solvent machines, real hands-on service.",plotter repair | printhead cleaning | yazıcı tamiri | Drucker reparieren,UCqJkrlA5iWHqeERqSM4yJ4g,hands,printer-repair,wave1,2026-09-15,scraper,96,
https://www.youtube.com/@fixyourdesignjet,@FixYourDesignJet,FixYourDesignJet,1620,50,5,"Dedicated channel to fixing DesignJet plotters, exactly matching plotter repair topic.",plotter repair,UCiyD3mpGGYSTnLMLbLauGCg,hands,printer-repair,wave1,2026-09-15,scraper,50,
https://www.youtube.com/@masterprinterlab0410,@MasterPrinterLab0410,Master Printer Lab,724,56,5,Dedicated printer repair lab covering mechanical repair and mainboard diagnostics for HP/Canon/Brother.,sửa máy in,UCGYKMFQRkPJzQ2tq8WTIRbg,hands,printer-repair,wave1,2026-09-15,scraper,56,
https://www.youtube.com/@paraimpressoras,@paraimpressoras,Pará Impressoras,3270,178,5,Dedicated printer repair and maintenance channel emphasizing real bench diagnostics and hands-on work.,manutenção de impressora,UCywuNEoDVYgJ-C7T2CwcfkA,hands,printer-repair,wave1,2026-09-15,scraper,178,
